"","X1","X2"
"ENSG00000207624.1",-4.98756919078867,-15.2740028856743
"ENSG00000281696.1",-5.06471383612691,-15.4664758777511
"ENSG00000222370.1",-5.41256058048292,-15.0855679005885
"ENSG00000222399.1",-5.34790991801815,-15.301188291494
"ENSG00000284519.1",-5.33361235649397,-15.4037378062254
"ENSG00000236994.1",-5.38625373064896,-15.0284281553414
"ENSG00000223282.1",-5.30699665726638,-15.1710556734845
"ENSG00000202264.1",-5.4478708923004,-15.4706314998771
"ENSG00000266174.1",-5.25521131996398,-15.6484024160896
"ENSG00000202056.1",-5.55165808831571,-15.4733835515079
"ENSG00000251823.2",-5.21646202986572,-15.3911059724954
"ENSG00000199352.1",-5.15731244754151,-15.0721550246106
"ENSG00000201588.1",-5.17000237359888,-15.1835783224947
"ENSG00000199337.1",-5.54709960427293,-15.3089585143513
"ENSG00000200381.1",-5.49330577568592,-15.266082359248
"ENSG00000199396.1",-5.31656279975802,-15.1248368981404
"ENSG00000200624.1",-5.32908626969379,-15.2852361739438
"ENSG00000202521.1",-5.31037274854624,-15.1594908886117
"ENSG00000200343.1",-5.23241966867259,-15.2911115863378
"ENSG00000199910.1",-5.16227875949828,-15.3626203767551
"ENSG00000199334.1",-5.10291801904339,-15.1214620906311
"ENSG00000199270.1",-5.50177677714762,-15.4380540817187
"ENSG00000202526.1",-5.36425789849669,-15.4605611475578
"ENSG00000201355.1",-5.09036732429829,-15.3146539022487
"ENSG00000201925.1",-5.28621627182471,-15.1631127092353
"ENSG00000202257.1",-5.36896621222051,-15.3659008550035
"ENSG00000200370.1",-5.51966783753529,-15.2868074131167
"ENSG00000232964.2",-5.36401936738358,-15.5104201648397
"ENSG00000222407.1",-5.30171154082053,-15.3791780081473
"ENSG00000224436.1",-5.58161123881191,-15.266166267596
"ENSG00000242794.2",-5.10923342810922,-15.3448830451111
"ENSG00000238382.1",-5.04211859240531,-15.2631358150794
"ENSG00000251508.1",-5.23278378534217,-15.4816885932332
"ENSG00000252501.1",-5.30018220167713,-15.2811816653854
"ENSG00000265744.1",-5.30926137454715,-15.4713016360803
"ENSG00000264377.1",-5.24925526217866,-15.1964340615651
"ENSG00000212144.1",-4.9441215643159,-15.2297886939377
"ENSG00000222831.1",-5.46226210068079,-15.1091048542204
"ENSG00000283174.1",-5.03920868956242,-15.1291233162251
"ENSG00000232154.2",-5.4097448838674,-15.0473032862315
"ENSG00000225723.1",-5.12889596623917,-15.6162290975307
"ENSG00000227860.1",-5.37763296976061,-15.2212303369086
"ENSG00000230019.1",-5.37859816819393,-15.2611455935049
"ENSG00000232989.1",-5.23305973335631,-15.5450100419359
"ENSG00000252317.1",-5.44170110267446,-15.5581598526487
"ENSG00000226014.1",-5.2531684437162,-15.3808410468383
"ENSG00000251750.1",-5.55233550615155,-15.3243717816883
"ENSG00000199241.1",-5.37641702628705,-15.3797749212728
"ENSG00000265831.1",-5.05158725482867,-15.2730396844947
"ENSG00000226750.1",-5.24817082648256,-15.0763445859369
"ENSG00000282831.1",-5.09029050798135,-15.5143977193658
"ENSG00000212230.1",-5.26278259246955,-15.3836456422064
"ENSG00000244066.3",-5.38686240329368,-15.2274069265077
"ENSG00000252073.1",-5.17665135234727,-15.390522819052
"ENSG00000252282.1",-5.36170872467708,-15.2615473235877
"ENSG00000230813.1",-5.36458266584637,-15.4191688996988
"ENSG00000252011.1",-4.98178215339981,-15.1925428173447
"ENSG00000177476.3",-5.15075422065548,-15.16646424537
"ENSG00000283369.1",-5.26717429925368,-15.3539180347521
"ENSG00000199442.1",-5.00392630836909,-15.1053160447997
"ENSG00000200982.1",-5.09739238521517,-15.2602721508143
"ENSG00000227152.5",-5.55030739907017,-15.2490296272037
"ENSG00000227102.2",-5.45629526550103,-15.3967673987816
"ENSG00000201602.1",-5.33771292902963,-15.5006646170109
"ENSG00000277997.1",-5.0639220836899,-15.1592226139675
"ENSG00000252238.1",-5.09052906091042,-15.4215851594239
"ENSG00000207192.1",-5.40204271432843,-15.2094438089173
"ENSG00000276733.1",-5.21063034849053,-15.3492540737901
"ENSG00000221255.1",-5.34419590418448,-15.2404882636777
"ENSG00000230886.3",-5.24963137703087,-15.1153998300507
"ENSG00000240960.1",-5.04293153718912,-15.5422889250543
"ENSG00000271787.1",-5.08465594736363,-15.1572139796139
"ENSG00000212558.1",-5.46705361775907,-15.2910578536706
"ENSG00000265418.1",-5.38957727470403,-15.3773903616362
"ENSG00000238962.1",-5.04658246355344,-15.2611952556918
"ENSG00000264010.1",-5.26234938174214,-15.2149669008819
"ENSG00000265056.1",-5.39362376741555,-15.2633896163948
"ENSG00000265172.1",-5.15758267852516,-15.5478123114236
"ENSG00000238503.1",-5.1446456917447,-15.4048425164878
"ENSG00000264089.1",-5.35692905833105,-15.1545314616019
"ENSG00000207183.1",-5.42727058385043,-15.1300079145841
"ENSG00000251859.1",-5.11199064450444,-15.1444805038914
"ENSG00000237261.2",-5.44781979295744,-15.4624940244034
"ENSG00000202160.1",-5.31706989589451,-15.3281305945035
"ENSG00000238371.1",-5.31397203104669,-15.217095760005
